REVIEW_ID|||SENTENCE|||ASPECT|||SENTIMENT|||SENTIMENT_SCORE
1|||I just don't like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating.|||shape|||like|||-2.0
1|||I just don't like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating.|||shape|||irritating|||-3.0
2|||They stick on great and they stay on the phone.|||phone|||great|||3.0
2|||They are super stylish and I can share them with my sister.|||sister|||share|||1.0
3|||These are awesome and make my phone look so stylish!|||look|||awesome|||3.0
3|||These are awesome and make my phone look so stylish!|||phone look|||awesome|||3.0
3|||Great quality!|||quality|||great|||3.0
4|||Item arrived in great time and was in perfect condition.|||item|||great|||3.0
4|||Item arrived in great time and was in perfect condition.|||time|||great|||3.0
4|||Item arrived in great time and was in perfect condition.|||time|||perfect|||2.0
4|||Item arrived in great time and was in perfect condition.|||condition|||perfect|||2.0
4|||However, I ordered these buttons because they were a great deal and included a FREE screen protector.|||button|||great|||3.0
4|||However, I ordered these buttons because they were a great deal and included a FREE screen protector.|||deal|||great|||3.0
4|||Though its not a big deal, it would've been nice to get it since they claim it comes with one.|||deal|||nice|||2.0
5|||stays on, and looks great.|||stay|||great|||3.0
6|||These make using the home button easy.|||button|||easy|||1.0
6|||These make using the home button easy.|||home button|||easy|||1.0
6|||My daughter and I both like them.|||daughter|||like|||2.0
6|||Well worth the price.|||price|||well|||1.0
7|||People ask where I got them from & it's great when driving.|||people|||great|||3.0
9|||Good case, solid build.|||case|||good|||2.0
9|||Protects phone all around with good access to buttons.|||phone|||good|||2.0
9|||Protects phone all around with good access to buttons.|||access|||good|||2.0
9|||I'm glad that it lasts from start to end.|||start|||glad|||2.0
10|||This is a fantastic case.|||case|||fantastic|||3.0
10|||But most importantly, it double power, just as promised.|||power|||importantly|||1.0
10|||But most importantly, it double power, just as promised.|||power|||promised|||2.0
10|||Great buy|||buy|||great|||3.0
11|||this case fits perfectly on the s4 and keeps me powerd all day I can't complain!|||case|||perfectly|||2.0
11|||this case fits perfectly on the s4 and keeps me powerd all day I can't complain!|||s4|||perfectly|||2.0
11|||this case fits perfectly on the s4 and keeps me powerd all day I can't complain!|||day|||complain|||2.0
12|||The S4 fits very well, is slim and doesn't add much weight to the Galaxy S4.|||s4|||well|||1.0
12|||The S4 fits very well, is slim and doesn't add much weight to the Galaxy S4.|||weight|||well|||1.0
12|||There is a handy on-off switch with leds to indicate the level of charge.The battery case came on time and was packaged well.|||time|||well|||1.0
12|||Well worth the price.|||price|||well|||1.0
13|||Don't know what I would do without this case LOVE LOVE LOVE it.|||case|||love|||3.0
14|||Also it is build in a super STRONG manner and even though I dropped my phone a few times, its shock resistant technology won't let a single thing happen to the case or the phone.|||manner|||strong|||1.0
14|||I was also shocked to hear all the positive compliments I was hearing from people at my job, fitness center, and throughout the community.|||compliment|||positive|||3.0
14|||Everybody was loving the case, and what they don't know is that it cost  me 60 % CHEAPER then all the other brand.|||everybody|||loving|||4.0
14|||Everybody was loving the case, and what they don't know is that it cost  me 60 % CHEAPER then all the other brand.|||case|||loving|||4.0
14|||This is the best purchase I've made on the internet, and I am going to buy more for my family in time for the Holidays.|||purchase|||best|||2.0
14|||THANK YOU POWERBEAR!!!!!!!!!!!!!!|||powerbear|||thank|||2.0
15|||Awesome thanks A+|||thanks|||awesome|||3.0
16|||Great purchase!!|||!!|||great|||3.0
16|||Great purchase!!|||purchase !!|||great|||3.0
17|||Doesn't heat up like crazy like the other ones I got, and cheaper too!|||one|||crazy|||-2.0
17|||Doesn't heat up like crazy like the other ones I got, and cheaper too!|||one|||cheaper|||-2.0
17|||Its definetly the best power case for the S4 you can get, thats why I got one for me and my wife.|||case|||best|||2.0
